id,название,цена,бренд,скидка,рейтинг,в наличии,id продавца,id бренда
111654542,Трусы женские набор хлопок Слипы больших размеров,43700.0,ANDETTA,55,5.0,9,18592,20480
51347157,Халат домашний и ночная сорочка хлопок комплект,208400.0,ANDETTA,54,5.0,29,18592,20480
19351514,Пижама женская с шортами хлопок Комплект кружевной,65100.0,ANDETTA,56,5.0,10,18592,20480
11238482,Трусы женские набор хлопок Cлипы белые 3 шт,48300.0,ANDETTA,46,5.0,9,18592,20480
10431402,Бюстгальтер женский без косточек без поролона без пушап,41000.0,ANDETTA,53,5.0,7,18592,20480
11628875,Бюстгальтер женский большие размеры без поролона кружевной,114100.0,ANDETTA,32,5.0,9,18592,20480
26738090,Топ бюстгальтер женский без косточек без поролона хлопок,41500.0,ANDETTA,44,5.0,7,18592,20480
63428766,Трусы женские хлопок Слипы больших размеров,27900.0,ANDETTA,35,5.0,4,18592,20480
75147046,Халат женский домашний хлопок на запАх,64400.0,ANDETTA,58,5.0,16,18592,20480
11222950,Бюстгальтер женский без косточек без поролона без пушап,40200.0,ANDETTA,54,5.0,7,18592,20480
11870111,Трусы женские набор хлопок Слипы больших размеров 3 шт,43300.0,ANDETTA,51,5.0,9,18592,20480
8704104,Бюстгальтер женский кружевной без пушап с косточками,54500.0,ANDETTA,54,4.0,9,18592,20480
8704105,Бюстгальтер женский большие размеры кружевной без пушап,108500.0,ANDETTA,31,5.0,11,18592,20480
110265562,Халат домашний и ночная сорочка хлопок комплект,169600.0,ANDETTA,58,4.0,29,18592,20480
158099254,"Пояс для чулок, чулков черный Пояс на талию с подвязками",53700.0,ANDETTA,32,5.0,2,18592,20480
49668245,Халат домашний и ночная сорочка хлопок комплект,166300.0,ANDETTA,59,4.0,29,18592,20480
112046214,Пижама женская с шортами хлопок костюм домашний,50900.0,ANDETTA,58,5.0,10,18592,20480
11222953,Бюстгальтер женский без косточек без поролона без пушап,41000.0,ANDETTA,53,5.0,7,18592,20480
25718421,Бюстгальтер женский большие размеры без поролона кружевной,94000.0,ANDETTA,32,5.0,9,18592,20480
70403370,Трусы женские хлопок Слипы больших размеров,27500.0,ANDETTA,36,5.0,4,18592,20480
115058957,Бюстгальтер Лифчик женский без поролона кружевной без пушап,154200.0,ANDETTA,26,5.0,9,18592,20480
117190350,Пижама женская с шортами Костюм домашний хлопок,86600.0,ANDETTA,58,5.0,29,18592,20480
14116698,Бюстгальтер женский кружевной Лифчик без пушап белый,126400.0,ANDETTA,36,5.0,9,18592,20480
197420970,Пижама женская со штанами шелковая больших размеров,119900.0,ANDETTA,63,5.0,8,18592,20480
29445544,Ночная сорочка кружевная и трусы стринги Комплект белья,99500.0,ANDETTA,55,4.0,10,18592,20480
77504854,Трусы женские хлопок Слипы больших размеров,23500.0,ANDETTA,38,5.0,4,18592,20480
45985583,Топ бюстгальтер женский без косточек без поролона хлопок,42900.0,ANDETTA,42,5.0,7,18592,20480
72019843,Бюстгальтер женский большие размеры кружевной без пушап,109800.0,ANDETTA,30,5.0,9,18592,20480
114147459,Бюстгальтер женский без поролона без пушап с косточками,60200.0,ANDETTA,51,5.0,9,18592,20480
102441791,Бюстгальтер женский без поролона без пушап хлопок,97000.0,ANDETTA,28,5.0,13,18592,20480
29445397,Ночная сорочка кружевная и трусы стринги Комплект белья,94200.0,ANDETTA,58,4.0,10,18592,20480
51356774,Бюстгальтер женский Лифчик кружевной без пушап с косточками,43300.0,ANDETTA,50,4.0,19,18592,20480
106115804,Топ бюстгальтер женский без косточек Лифчик без поролона 2шт,49200.0,ANDETTA,52,5.0,14,18592,20480
19351513,Пижама женская с шортами хлопок Комплект домашний,71100.0,ANDETTA,52,5.0,10,18592,20480
11222954,Бюстгальтер женский кружевной Лифчик без пушап,117100.0,ANDETTA,28,5.0,9,18592,20480
132267805,Бюстгальтер женский большие размеры без поролона прозрачный,88300.0,ANDETTA,32,5.0,9,18592,20480
140358591,Бюстгальтер женский большие размеры кружевной балконет,115400.0,ANDETTA,32,5.0,10,18592,20480
136466260,Бюстгальтер женский без косточек Лифчик без пушап черный,59900.0,ANDETTA,56,4.0,10,18592,20480
11628872,Бюстгальтер женский без косточек без поролона кружевной,53300.0,ANDETTA,57,5.0,7,18592,20480
11238523,Халат домашний и ночная сорочка хлопок комплект,154000.0,ANDETTA,58,5.0,29,18592,20480
136483276,Бюстгальтер женский без косточек без пушап с поролоном,59900.0,ANDETTA,56,4.0,10,18592,20480
11238483,Трусы женские набор хлопок Слипы больших размеров 3 шт,43300.0,ANDETTA,51,5.0,9,18592,20480
197497227,Халат женский домашний шёлковый короткий,115200.0,ANDETTA,49,5.0,8,18592,20480
96417672,Халат домашний и ночная сорочка хлопок комплект,150000.0,ANDETTA,63,4.0,29,18592,20480
96350823,Халат домашний и ночная сорочка хлопок комплект,163100.0,ANDETTA,60,4.0,29,18592,20480
125918381,Бюстгальтер женский без поролона без пушап прозрачный сетка,89300.0,ANDETTA,31,5.0,9,18592,20480
7140725,Бюстгальтер женский без пушап гладкий с косточками,39500.0,ANDETTA,68,4.0,19,18592,20480
163391925,Бюстгальтер женский большие размеры Лифчик без пушап,118800.0,ANDETTA,32,5.0,9,18592,20480
136460774,Бюстгальтер женский без косточек Лифчик без пушап белый,59900.0,ANDETTA,56,4.0,10,18592,20480
27520702,Пижама женская с шортами хлопок комплект кружевной,60700.0,ANDETTA,55,5.0,10,18592,20480
115079783,Трусы женские кружевные Слипы больших размеров белые,88800.0,ANDETTA,28,5.0,5,18592,20480
106158791,Бюстгальтер женский без поролона без пушап с косточками,59200.0,ANDETTA,52,5.0,9,18592,20480
29445877,Ночная сорочка кружевная и трусы стринги Комплект белья,103000.0,ANDETTA,54,4.0,10,18592,20480
